,age,gender,time_in_social_media,people_living_together,social_class,has_pets,number_of_pets,has_dog,has_cat,has_others,forgets,report_abandoned,feeling,would_use
101,15,0,0,3,3,1,5,1,1,0,1,4,3,0.5
102,15,0,0,4,0,1,1,1,0,0,0,4,3,0.5
103,15,0,0,3,4,0,0,0,0,0,1,2,4,1
104,15,1,2,4,4,0,0,0,0,0,1,2,1,0
105,15,1,0,3,3,1,3,1,1,0,0,4,4,0.5
106,15,1,8,4,3,0,0,0,0,0,1,2,3,0.5
107,15,0,4,4,3,1,1,1,0,0,1,3,3,0
108,15,0,4,4,4,0,0,0,0,0,1,2,1,0
109,15,1,6,3,2,0,0,0,0,0,1,2,3,0.5
110,15,1,2,4,4,1,2,0,1,0,1,4,4,1
111,15,0,2,4,3,0,0,0,0,0,1,2,1,0
112,15,1,2,3,4,1,2,1,1,0,1,4,4,0.5
113,15,1,6,4,4,1,1,1,0,0,0,4,3,1
114,15,0,0,4,2,1,3,1,0,0,1,4,3,1
115,15,1,0,3,3,1,1,1,0,0,1,4,4,1
116,15,1,0,5,3,0,0,0,0,0,1,2,2,0.5
117,15,1,2,3,3,1,2,0,0,0,1,4,2,1
118,15,2,8,4,4,1,1,1,0,0,1,4,2,0.5
119,15,0,0,4,4,0,0,0,0,0,1,2,1,0
120,15,1,2,4,3,1,2,1,0,0,0,4,3,1
121,15,0,2,3,4,1,2,0,1,0,1,2,0,1
122,15,0,6,2,3,1,1,1,0,0,1,4,3,0
123,15,0,2,3,3,1,1,1,0,0,1,3,3,0.5
124,15,0,0,5,3,1,1,1,0,0,0,4,3,0.5
125,15,0,0,4,2,1,1,1,0,0,0,0,4,1
126,50,2,8,24,5,0,0,0,0,0,1,2,1,0
127,15,0,2,3,4,1,1,1,0,0,1,3,3,0.5
128,15,2,0,4,4,0,0,0,0,0,1,2,1,0
129,15,0,0,4,4,1,1,1,0,0,1,4,3,0.5
130,15,1,2,3,4,0,0,0,0,0,1,2,3,1
131,15,1,2,5,3,1,2,0,1,1,1,3,4,1
132,15,0,2,4,3,1,6,1,1,0,1,4,4,1
133,15,0,8,3,2,0,0,0,0,0,1,2,0,0
134,15,1,2,2,3,0,0,0,0,0,1,2,0,0
135,15,1,2,8,3,1,2,1,0,0,1,4,3,0.5
136,15,1,4,5,3,1,4,1,0,1,1,4,4,1
137,15,1,2,5,3,0,0,0,0,0,1,2,1,0.5
138,15,1,0,4,4,0,0,0,0,0,1,2,1,0
139,15,1,2,5,3,1,9,0,0,1,1,2,4,1
140,15,1,4,5,3,1,3,1,0,0,1,4,4,0.5
141,15,1,4,4,4,1,3,0,1,1,1,3,3,0.5
142,15,0,0,4,3,0,0,0,0,0,1,2,1,0
143,15,0,0,6,2,1,1,1,0,0,1,4,2,0.5
144,15,0,6,5,4,1,1,1,0,0,1,4,3,0
145,15,0,2,3,3,1,1,1,0,0,1,4,3,1
146,15,0,2,2,3,1,1,1,0,0,0,0,4,0.5
147,15,1,2,4,3,1,1,1,0,0,0,4,3,1
148,15,1,2,3,3,0,0,0,0,0,1,2,3,1
149,15,0,4,4,4,1,2,1,0,1,1,0,3,1
150,15,0,2,3,2,1,1,0,0,0,1,4,0,0
151,15,2,0,4,3,1,1,1,0,0,1,3,2,0
152,15,0,2,4,5,1,1,1,0,0,1,4,3,1
153,15,1,2,3,4,1,1,1,0,0,1,3,4,1
154,20,1,2,1,2,1,1,1,0,0,1,4,4,1
155,15,1,2,4,0,0,0,0,0,0,1,2,3,1
156,15,0,0,3,3,0,0,0,0,0,1,2,2,0.5
157,15,1,2,5,0,1,4,1,1,1,1,4,3,1
158,20,0,0,6,2,0,0,0,0,0,1,2,2,0.5
