iter	Logloss
0	0.6916180812
1	0.690251387
2	0.6891312602
3	0.6877739512
4	0.6872725734
5	0.6857047425
6	0.6851014283
7	0.6838419227
8	0.6825604042
9	0.6808285309
10	0.6796078111
11	0.6783891316
12	0.6767621765
13	0.6756460575
14	0.6743736068
15	0.6736040309
16	0.6729001646
17	0.6715995045
18	0.6703559071
19	0.669138906
20	0.6686588211
21	0.6671673889
22	0.6656698869
23	0.664644381
24	0.6633738024
25	0.6620268092
26	0.66140911
27	0.660728665
28	0.6594770592
29	0.6583040239
30	0.6572697214
31	0.6560559088
32	0.6551406824
33	0.654112311
34	0.6531208291
35	0.6518911012
36	0.6512503807
37	0.6505525868
38	0.6494921682
39	0.6485106996
40	0.6477254087
41	0.6468083827
42	0.6463930763
43	0.645283208
44	0.6442729082
45	0.6433619048
46	0.6423312533
47	0.6412910695
48	0.6400288584
49	0.6397195392
50	0.6384638335
51	0.6370974429
52	0.6356376007
53	0.6341432118
54	0.6330362818
55	0.632446913
56	0.631801273
57	0.6306086133
58	0.6297924461
59	0.6288084335
60	0.6278820374
61	0.6267276285
62	0.6256682953
63	0.6251596579
64	0.6242252125
65	0.6232607034
66	0.6221841403
67	0.6208681271
68	0.6196930141
69	0.6188144441
70	0.6183571217
71	0.6174033477
72	0.6170081107
73	0.6167322447
74	0.6158582342
75	0.614770559
76	0.6137412698
77	0.6125228789
78	0.61124634
79	0.6108145504
80	0.6097160183
81	0.6086378978
82	0.6075652534
83	0.6068063858
84	0.6061173589
85	0.6048720358
86	0.604065977
87	0.6029407125
88	0.6026397127
89	0.6016923658
90	0.6008421337
91	0.6003524672
92	0.5993229824
93	0.5982084153
94	0.5973630222
95	0.5964713786
96	0.5955339709
97	0.5947492945
98	0.5937413391
99	0.5926504527
100	0.5919696805
101	0.5909734915
102	0.590015019
103	0.5893079467
104	0.5884324892
105	0.587722009
106	0.5870112451
107	0.5857355539
108	0.5845269655
109	0.5835260959
110	0.5824912218
111	0.5815426564
112	0.5808271986
113	0.5797608384
114	0.5786621582
115	0.5776957483
116	0.5765674423
117	0.575643083
118	0.5748292997
119	0.5735934741
120	0.5727949181
121	0.5723013486
122	0.5712342323
123	0.5705341217
124	0.5697302239
125	0.5690338065
126	0.5683349343
127	0.5675525803
128	0.5665118457
129	0.56570412
130	0.5649109461
131	0.5642008969
132	0.56346387
133	0.562699856
134	0.5619592385
135	0.5610224307
136	0.5608446019
137	0.5601568112
138	0.5594688356
139	0.5585804659
140	0.5575881799
141	0.5568347551
142	0.5563696579
143	0.5557031372
144	0.5549735902
145	0.5540644687
146	0.553147226
