,age,gender,time_in_social_media,people_living_together,social_class,is_lgbt,has_pets,number_of_pets,has_dog,has_cat,has_others,forgets,report_abandoned,feeling,would_use
95,36,0,1.0,4,3,0,1,1.0,1,0,0,0,3,4.0,0.5
96,15,0,3.0,3,4,0,1,1.0,1,0,0,0,2,5.0,0.5
97,14,1,2.0,4,3,0,1,1.0,1,0,0,0,2,5.0,1
98,15,1,2.0,2,5,0,1,3.0,1,1,0,0,4,5.0,0.5
99,12,0,3.0,3,2,0,1,2.0,1,1,1,1,3,5.0,0.5
100,12,1,7.0,3,2,0,1,1.0,1,0,0,1,4,5.0,0.5
101,12,2,6.0,4,2,1,1,5.0,1,1,0,0,2,5.0,1
102,12,1,4.0,4,0,0,1,1.0,1,0,0,1,3,4.0,0
103,17,1,6.0,4,0,0,1,1.0,1,0,0,0,2,4.0,0
104,17,0,2.0,3,2,0,1,2.0,1,1,0,0,3,4.0,0.5
105,11,2,1.0,3,4,1,1,1.0,1,0,0,1,3,5.0,0.5
106,13,1,6.0,4,2,0,1,4.0,1,1,1,1,3,5.0,0.5
107,13,1,0.0,5,4,0,0,0.0,0,0,0,1,1,3.0,0
108,13,1,3.0,3,4,0,1,1.0,1,0,0,1,3,5.0,0.5
109,13,1,4.0,3,5,0,0,0.0,0,0,0,1,4,3.0,0.5
110,13,0,4.0,3,2,0,1,1.0,1,0,0,1,2,2.0,0
112,12,1,3.0,4,0,0,1,2.0,1,0,1,1,4,5.0,0.5
113,11,1,5.0,2,2,0,1,1.0,1,0,0,1,4,5.0,0
114,13,1,7.0,4,2,0,1,1.0,1,0,0,1,4,5.0,0.5
115,14,0,3.0,3,5,0,1,2.0,1,0,1,0,4,3.0,0
116,14,0,8.0,4,4,0,0,0.0,1,0,0,1,4,3.0,0.5
117,26,1,3.0,4,5,1,1,4.0,1,1,1,1,4,5.0,1
118,22,1,4.0,2,2,0,1,2.0,1,1,0,0,4,5.0,1
119,20,1,4.0,5,4,1,1,1.0,0,1,0,1,4,4.0,0.5
120,16,1,1.0,3,3,0,0,0.0,0,0,0,1,3,3.0,0
121,15,0,3.0,4,3,1,1,3.0,1,1,1,1,1,4.0,0.5
122,11,0,1.0,4,3,0,1,1.0,1,0,0,0,4,4.0,0.5
123,15,1,3.0,3,2,1,1,1.0,1,0,0,1,4,5.0,1
124,12,0,2.0,4,4,0,1,2.0,1,1,1,1,3,5.0,0.5
125,13,0,3.0,4,5,0,1,1.0,1,0,0,0,4,3.0,0
126,13,1,2.0,5,4,0,1,8.0,1,1,1,0,4,5.0,1
127,12,0,2.0,4,0,0,1,1.0,1,0,0,0,4,4.0,0
128,13,0,1.0,4,2,0,0,0.0,0,0,0,1,0,3.0,1
129,11,1,2.0,3,3,0,0,0.0,0,0,0,1,4,3.0,0.5
130,14,1,5.0,2,5,0,0,0.0,0,0,0,1,4,3.0,0
132,17,1,3.0,3,2,1,1,2.0,1,1,1,1,4,5.0,0.5
133,12,0,1.0,4,2,0,1,2.0,1,1,1,1,0,3.0,1
134,15,2,4.0,2,5,1,1,1.0,1,0,0,1,4,5.0,1
136,12,1,3.0,3,5,0,1,2.0,1,1,1,1,4,3.0,1
137,15,1,4.0,3,0,0,1,3.0,1,1,1,1,4,5.0,1
138,15,0,4.0,4,0,0,1,1.0,1,0,0,1,3,4.0,1
139,45,1,1.0,2,1,0,0,0.0,0,0,0,1,4,3.0,0.5
142,11,1,6.0,1,0,0,1,1.0,1,0,0,1,3,5.0,0.5
